OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41439,2017,CA,CCO,VNC,MCWANE,00041882,2017/05/21 00:00:00+00,2017/05/21 00:00:00+00,14, ,,1.7512908,6,1,,10372.30384311,421.532158345677
41440,2017,CA,CCO,VNC,"SCHOOL
SCHOOL",00100005,2017/11/23 00:00:00+00,2017/11/23 00:00:00+00,9,Animal caused electrical arcing,5,4.6660614,1,1,,27760.639589095,1113.85738939211
41441,2017,CA,CCO,VNC,FORK,00035362,2017/04/28 00:00:00+00,2017/04/28 00:00:00+00,14,Walked track,1.5,1.53443527,1,1,,9130.50117712,846.129704459192
41442,2017,CA,CCO,VNC,LIBBEY,00032047,2017/04/16 00:00:00+00,2017/04/16 00:00:00+00,9,Unintentional,2,2.22726059,6,1,,13288.72281173,494.937596819688
41443,2017,CA,CCO,VNC,SCALES,00113112,2017/12/21 00:00:00+00,2017/12/21 00:00:00+00,14,Walked perimter,2,1.25823998,1,1,,7462.040572935,697.889451570369
41444,2017,CA,CCO,VNC,CANYON,00110784,2017/07/19 00:00:00+00,,14,VNC into FRA on intitial attack,5,5.55075741,1,1,,32979.152527985,972.485221582759
41445,2017,CA,CCO,VNC,RUNNER,00104509,2017/12/05 00:00:00+00,2017/12/05 00:00:00+00,9,Unintentional,3,2.42550373,6,1,,14386.877228225,535.699626780039
41446,2017,CA,CDF,TUU,DINELY,00000286,2017/06/07 00:00:00+00,2017/06/11 00:00:00+00,2,,339,340.56375122,1,1,,2135860.53923291,5770.50529170977
41447,2017,CA,CDF,TUU,ROADRUNNER,00000441,2017/07/30 00:00:00+00,2017/08/01 00:00:00+00,7,,2289,2284.59594727,1,1,,14160895.6801992,25151.3723031696
41448,2017,CA,CDF,TUU,ELEPHANT 2,00000420,2017/07/20 00:00:00+00,2017/07/22 00:00:00+00,7,,416,415.2116394,1,1,,2586629.74556048,9434.27481733289
41449,2017,CA,CDF,TGU,TEHAMA,00010345,2017/10/30 00:00:00+00,2017/10/31 00:00:00+00,10,,194,194.00172424,1,1,,1345001.48323489,6019.34694420061
41450,2017,CA,CDF,TGU,BOLLA,00005782,2017/06/18 00:00:00+00,2017/06/21 00:00:00+00,9,,60,60.31167221,6,1,,420580.08714604,3421.69628333924
41451,2017,CA,CDF,TCU,CRABTREE,00007212,2017/06/21 00:00:00+00,2017/06/21 00:00:00+00,10,,,14.15660191,1,1,,91558.233137805,1318.41358434806
41452,2017,CA,CDF,TCU,FALLS,00009206,2017/08/01 00:00:00+00,2017/08/01 00:00:00+00,14,,,20.31024361,1,1,,131390.567014065,1777.73370666129
41453,2017,CA,CDF,TCU,GOLD,00007925,2017/07/05 00:00:00+00,2017/07/05 00:00:00+00,10,,,33.16440582,1,1,,217008.10826014,2594.37635213857
